ID	Type	RA	DECL	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	I	V	V_I	P	T0	A_1	A_2	Remarks
OGLE-LMC-ECL-02723	ELL	4.912497	-69.730944	-99.99	LMC136.3.16770	LMC531.03.11134	-99.99	16.066	16.062	-0.004	2.40800020	7000.16560	0.085	0.059	
OGLE-LMC-ECL-02729	ELL	4.912775	-66.610111	-99.99	LMC131.5.12956	LMC533.21.23673	-99.99	17.142	17.068	-0.074	1.47750170	7001.32900	0.210	0.102	
OGLE-LMC-ECL-02743	ELL	4.913317	-67.326417	-99.99	-99.99	LMC533.04.20381	-99.99	16.127	16.026	-0.101	3.21369060	7001.78560	0.110	0.085	
OGLE-LMC-ECL-02750	ELL	4.913489	-70.037944	-99.99	LMC136.1.21472	LMC530.27.10531	-99.99	19.877	20.256	0.379	2.91055200	7002.16110	0.591	0.199	
OGLE-LMC-ECL-02755	ELL	4.913692	-67.631611	-99.99	-99.99	LMC532.28.23085	-99.99	18.102	18.194	0.092	2.41352970	7000.90860	0.489	0.126	
OGLE-LMC-ECL-02759	ELL	4.913908	-67.136361	-99.99	LMC131.8.13762	LMC533.12.15250	-99.99	15.756	15.598	-0.158	1.55774510	7001.22420	0.218	0.215	
OGLE-LMC-ECL-02764	ELL	4.914014	-67.075611	-99.99	LMC131.8.13997	LMC533.12.19393	-99.99	16.743	17.133	0.390	21.48826030	7010.77930	0.124	0.098	
OGLE-LMC-ECL-02768	ELL	4.914186	-69.534806	-99.99	LMC135.1.7968	LMC531.11.6005	-99.99	18.325	18.340	0.015	12.04298630	7004.68240	0.103	0.102	
OGLE-LMC-ECL-02771	ELL	4.914306	-69.692306	-99.99	LMC136.3.17623	LMC531.03.17221	-99.99	17.992	19.105	1.113	124.36492070	7098.67390	0.096	0.088	
OGLE-LMC-ECL-02784	ELL	4.914753	-69.168056	-99.99	LMC135.3.30207	LMC531.20.6294	-99.99	17.435	18.464	1.029	31.12007310	7003.90830	0.052	0.046	
OGLE-LMC-ECL-02790	ELL	4.914878	-68.054833	-99.99	LMC133.3.183	LMC532.20.19293	-99.99	16.531	16.494	-0.037	1.93283180	7000.88810	0.156	0.083	
OGLE-LMC-ECL-02792	ELL	4.914978	-70.447250	-99.99	LMC129.7.1473	LMC530.19.3641	-99.99	18.914	19.188	0.274	1.65905370	7000.44390	0.286	0.227	
OGLE-LMC-ECL-02795	ELL	4.915044	-68.901306	-99.99	LMC134.1.5506	LMC531.28.7336	-99.99	18.575	18.678	0.103	1.18736620	7001.12600	0.119	0.073	
OGLE-LMC-ECL-02800	ELL	4.915386	-66.729083	-99.99	LMC131.5.16898	-99.99	-99.99	19.211	-99.99	-99.99	3.02776180	7002.76340	1.209	0.545	
